pair,sentiment,longs_daily,shorts_daily,longs_weekly,shorts_weekly,scraping_time
EUR_USD,Bullish,-6,2,-8,34,2024-02-10 16:21:44
EUR_GBP,Bearish,-3,-7,7,-7,2024-02-10 16:21:44
NZD_USD,Bullish,-6,7,-15,110,2024-02-10 16:21:44
AUD_JPY,Bullish,-22,-2,-3,4,2024-02-10 16:21:44
EUR_CHF,Mixed,-2,-9,-12,15,2024-02-10 16:21:44
EUR_JPY,Mixed,-5,4,27,6,2024-02-10 16:21:44
USD_CHF,Bullish,-5,0,-1,25,2024-02-10 16:21:44
GBP_JPY,Bullish,-7,10,16,17,2024-02-10 16:21:44
USD_CAD,Mixed,-15,-2,11,-1,2024-02-10 16:21:44
GBP_USD,Mixed,-1,-2,-11,40,2024-02-10 16:21:44
AUD_USD,Bullish,-13,9,-2,40,2024-02-10 16:21:44
USD_JPY,Bullish,-14,0,7,8,2024-02-10 16:21:44
Oil - US Crude,Bullish,-6,3,-25,111,2024-02-10 16:21:44
Silver,Mixed,-4,-6,-12,-2,2024-02-10 16:21:44
Gold,Bearish,13,-15,6,-7,2024-02-10 16:21:44
US 500,Bearish,3,-2,15,11,2024-02-10 16:21:44
Wall Street,Bearish,30,-7,45,-8,2024-02-10 16:21:44
Germany 40,Bearish,7,-8,18,-4,2024-02-10 16:21:44
FTSE 100,Bearish,1,-9,26,-18,2024-02-10 16:21:44
France 40,Bullish,-5,-1,-4,4,2024-02-10 16:21:44
EUR_USD,Bullish,-6,2,-8,34,2024-02-10 16:25:09
EUR_GBP,Bearish,-3,-7,7,-7,2024-02-10 16:25:09
NZD_USD,Bullish,-6,7,-15,110,2024-02-10 16:25:09
AUD_JPY,Bullish,-22,-2,-3,4,2024-02-10 16:25:09
EUR_CHF,Mixed,-2,-9,-12,15,2024-02-10 16:25:09
EUR_JPY,Mixed,-5,4,27,6,2024-02-10 16:25:09
USD_CHF,Bullish,-5,0,-1,25,2024-02-10 16:25:09
GBP_JPY,Bullish,-7,10,16,17,2024-02-10 16:25:09
USD_CAD,Mixed,-15,-2,11,-1,2024-02-10 16:25:09
GBP_USD,Mixed,-1,-2,-11,40,2024-02-10 16:25:09
AUD_USD,Bullish,-13,9,-2,40,2024-02-10 16:25:09
USD_JPY,Bullish,-14,0,7,8,2024-02-10 16:25:09
Oil - US Crude,Bullish,-6,3,-25,111,2024-02-10 16:25:09
Silver,Mixed,-4,-6,-12,-2,2024-02-10 16:25:09
Gold,Bearish,13,-15,6,-7,2024-02-10 16:25:09
US 500,Bearish,3,-2,15,11,2024-02-10 16:25:09
Wall Street,Bearish,30,-7,45,-8,2024-02-10 16:25:09
Germany 40,Bearish,7,-8,18,-4,2024-02-10 16:25:09
